           1          15
        1321   0.00000000       5200.00000    
        1330   0.00000000       5228.57129    
        1339   0.00000000       5257.14258    
        1348   0.00000000       5285.71387    
        1357   0.00000000       5314.28516    
        1366   0.00000000       5342.85645    
        1375   0.00000000       5371.42773    
        1384   0.00000000       5399.99902    
        1393   0.00000000       5428.57031    
        1402   0.00000000       5457.14160    
        1411   0.00000000       5485.71289    
        1420   0.00000000       5514.28418    
        1429   0.00000000       5542.85547    
        1438   0.00000000       5571.42676    
        1443   0.00000000       5600.00000    
          15          15
        1443   0.00000000       5600.00000    
        1452   0.00000000       5628.57129    
        1461   0.00000000       5657.14258    
        1470   0.00000000       5685.71387    
        1479   0.00000000       5714.28516    
        1488   0.00000000       5742.85645    
        1497   0.00000000       5771.42773    
        1506   0.00000000       5799.99902    
        1515   0.00000000       5828.57031    
        1524   0.00000000       5857.14160    
        1533   0.00000000       5885.71289    
        1542   0.00000000       5914.28418    
        1551   0.00000000       5942.85547    
        1560   0.00000000       5971.42676    
        1565   0.00000000       6000.00000    
          16          15
        1565   0.00000000       6000.00000    
        1574   0.00000000       6028.57129    
        1583   0.00000000       6057.14258    
        1592   0.00000000       6085.71387    
        1601   0.00000000       6114.28516    
        1610   0.00000000       6142.85645    
        1619   0.00000000       6171.42773    
        1628   0.00000000       6199.99902    
        1637   0.00000000       6228.57031    
        1646   0.00000000       6257.14160    
        1655   0.00000000       6285.71289    
        1664   0.00000000       6314.28418    
        1673   0.00000000       6342.85547    
        1682   0.00000000       6371.42676    
        1687   0.00000000       6400.00000    
          17          15
          16   600.000000       0.00000000    
          17   600.000000       28.5714283    
          20   600.000000       57.1428566    
          23   600.000000       85.7142868    
          26   600.000000       114.285713    
          29   600.000000       142.857147    
          32   600.000000       171.428574    
          35   600.000000       200.000000    
          38   600.000000       228.571426    
          41   600.000000       257.142853    
          44   600.000000       285.714294    
          47   600.000000       314.285736    
          50   600.000000       342.857178    
          53   600.000000       371.428619    
          56   600.000000       400.000000    
          18          15
          56   600.000000       400.000000    
          61   600.000000       428.571442    
          66   600.000000       457.142883    
          71   600.000000       485.714325    
          76   600.000000       514.285767    
